runId,startedAt,endedAt,mode,benchmarkCategory,scenarioName,intervalMs,durationMs,operationCount,finalCrdtValue,averageOperationTimeMs,maxOperationTimeMs,burstSize,burstMergeTimeMs,notes
run_1784454652630_be15f4d939fb9,2026-07-19T09:50:52.630Z,2026-07-19T09:50:52.630Z,js,architecture_comparison,architecture_burst_1000,0,6.817625045776367,1,1000,6.817625045776367,6.817625045776367,1000,6.817625045776367,One deterministic merge call over 1000 CRDT entries
run_1784454653532_252dbe62582648,2026-07-19T09:50:53.532Z,2026-07-19T09:50:53.532Z,classic_bridge,architecture_comparison,architecture_burst_1000,0,25.1599999666214,1,1000,25.1599999666214,25.1599999666214,1000,25.1599999666214,One deterministic merge call over 1000 CRDT entries
run_1784454654355_0f77bc15ffc5cc8,2026-07-19T09:50:54.355Z,2026-07-19T09:50:54.355Z,turbo_module,architecture_comparison,architecture_burst_1000,0,31.963459014892578,1,1000,31.963459014892578,31.963459014892578,1000,31.963459014892578,One deterministic merge call over 1000 CRDT entries
run_1784454655300_9385b2715e1cd,2026-07-19T09:50:55.300Z,2026-07-19T09:50:55.300Z,js,architecture_comparison,architecture_burst_5000,0,27.219375014305115,1,5000,27.219375014305115,27.219375014305115,5000,27.219375014305115,One deterministic merge call over 5000 CRDT entries
run_1784454655970_8c51aedcd4f9f,2026-07-19T09:50:55.970Z,2026-07-19T09:50:55.970Z,classic_bridge,architecture_comparison,architecture_burst_5000,0,46.53529191017151,1,5000,46.53529191017151,46.53529191017151,5000,46.53529191017151,One deterministic merge call over 5000 CRDT entries
run_1784454656583_c6a129bb550b9,2026-07-19T09:50:56.583Z,2026-07-19T09:50:56.583Z,turbo_module,architecture_comparison,architecture_burst_5000,0,60.05454194545746,1,5000,60.05454194545746,60.05454194545746,5000,60.05454194545746,One deterministic merge call over 5000 CRDT entries
run_1784454657351_06feb473d521798,2026-07-19T09:50:57.351Z,2026-07-19T09:50:57.351Z,js,architecture_comparison,architecture_burst_10000,0,44.03479194641113,1,10000,44.03479194641113,44.03479194641113,10000,44.03479194641113,One deterministic merge call over 10000 CRDT entries
run_1784454658004_69360d6bb71e04,2026-07-19T09:50:58.004Z,2026-07-19T09:50:58.004Z,classic_bridge,architecture_comparison,architecture_burst_10000,0,63.86783301830292,1,10000,63.86783301830292,63.86783301830292,10000,63.86783301830292,One deterministic merge call over 10000 CRDT entries
run_1784454658641_e9967d757c0838,2026-07-19T09:50:58.641Z,2026-07-19T09:50:58.641Z,turbo_module,architecture_comparison,architecture_burst_10000,0,84.60991597175598,1,10000,84.60991597175598,84.60991597175598,10000,84.60991597175598,One deterministic merge call over 10000 CRDT entries
run_1784454662633_ada3b9161e7eb8,2026-07-19T09:51:02.633Z,2026-07-19T09:51:02.633Z,js,architecture_comparison,architecture_burst_1000,0,10.228582978248596,1,1000,10.228582978248596,10.228582978248596,1000,10.228582978248596,One deterministic merge call over 1000 CRDT entries
run_1784454663288_6726d1aff3d4f,2026-07-19T09:51:03.288Z,2026-07-19T09:51:03.288Z,classic_bridge,architecture_comparison,architecture_burst_1000,0,31.64358401298523,1,1000,31.64358401298523,31.64358401298523,1000,31.64358401298523,One deterministic merge call over 1000 CRDT entries
run_1784454663926_a832248f911e3,2026-07-19T09:51:03.926Z,2026-07-19T09:51:03.926Z,turbo_module,architecture_comparison,architecture_burst_1000,0,36.121582984924316,1,1000,36.121582984924316,36.121582984924316,1000,36.121582984924316,One deterministic merge call over 1000 CRDT entries
run_1784454664629_c99264c1ce6838,2026-07-19T09:51:04.629Z,2026-07-19T09:51:04.629Z,js,architecture_comparison,architecture_burst_5000,0,22.484750032424927,1,5000,22.484750032424927,22.484750032424927,5000,22.484750032424927,One deterministic merge call over 5000 CRDT entries
run_1784454665276_dbee56cff70198,2026-07-19T09:51:05.276Z,2026-07-19T09:51:05.276Z,classic_bridge,architecture_comparison,architecture_burst_5000,0,52.565208077430725,1,5000,52.565208077430725,52.565208077430725,5000,52.565208077430725,One deterministic merge call over 5000 CRDT entries
run_1784454665866_97f3881ddead2,2026-07-19T09:51:05.866Z,2026-07-19T09:51:05.866Z,turbo_module,architecture_comparison,architecture_burst_5000,0,61.16137504577637,1,5000,61.16137504577637,61.16137504577637,5000,61.16137504577637,One deterministic merge call over 5000 CRDT entries
run_1784454666555_275d90f4361908,2026-07-19T09:51:06.555Z,2026-07-19T09:51:06.555Z,js,architecture_comparison,architecture_burst_10000,0,32.749834060668945,1,10000,32.749834060668945,32.749834060668945,10000,32.749834060668945,One deterministic merge call over 10000 CRDT entries
run_1784454667191_a9c2481b3700d8,2026-07-19T09:51:07.191Z,2026-07-19T09:51:07.191Z,classic_bridge,architecture_comparison,architecture_burst_10000,0,68.53858304023743,1,10000,68.53858304023743,68.53858304023743,10000,68.53858304023743,One deterministic merge call over 10000 CRDT entries
run_1784454667809_ce3c0dc1cf1bf8,2026-07-19T09:51:07.809Z,2026-07-19T09:51:07.809Z,turbo_module,architecture_comparison,architecture_burst_10000,0,85.87016689777374,1,10000,85.87016689777374,85.87016689777374,10000,85.87016689777374,One deterministic merge call over 10000 CRDT entries
run_1784454687847_58af6b1b2608cc,2026-07-19T09:51:27.847Z,2026-07-19T09:51:27.847Z,turbo_module,architecture_comparison,architecture_burst_1000,0,41.7896249294281,1,1000,41.7896249294281,41.7896249294281,1000,41.7896249294281,One deterministic merge call over 1000 CRDT entries
