runId,startedAt,endedAt,mode,benchmarkCategory,scenarioName,intervalMs,durationMs,operationCount,finalCrdtValue,averageOperationTimeMs,maxOperationTimeMs,burstSize,burstMergeTimeMs,notes
run_1784376737107_f180f291ef7b9,2026-07-18T12:11:17.097Z,2026-07-18T12:12:17.107Z,js,dashboard_continuous,dashboard_continuous_5000_100ms,100,60000,489,2070948442,15.107032822197445,22.3197500705719,0,0,Completed full 60s dashboard workload benchmark
run_1784376801602_b9785e6434e05,2026-07-18T12:12:21.592Z,2026-07-18T12:13:21.602Z,native,dashboard_continuous,dashboard_continuous_5000_100ms,100,60000,515,2070948442,2.337514492377494,17.825500011444092,0,0,Completed full 60s dashboard workload benchmark
run_1784376870454_9889dec772fd2,2026-07-18T12:13:30.454Z,2026-07-18T12:14:30.454Z,native,dashboard_continuous,dashboard_continuous_5000_100ms,100,60000,515,2070948442,2.3273546989681653,16.280207991600037,0,0,Completed full 60s dashboard workload benchmark
run_1784376936192_77377cc697b3ec,2026-07-18T12:14:36.182Z,2026-07-18T12:15:36.192Z,js,dashboard_continuous,dashboard_continuous_5000_100ms,100,60000,493,2070948442,15.236566098660049,29.51170802116394,0,0,Completed full 60s dashboard workload benchmark
run_1784376997221_b929ee7132e76,2026-07-18T12:15:37.211Z,2026-07-18T12:16:37.221Z,js,dashboard_continuous,dashboard_continuous_5000_100ms,100,60000,487,2070948442,15.380863131928493,25.244833946228027,0,0,Completed full 60s dashboard workload benchmark
run_1784377058300_2d0917d5e12a9a,2026-07-18T12:16:38.290Z,2026-07-18T12:17:38.300Z,native,dashboard_continuous,dashboard_continuous_5000_100ms,100,60000,515,2070948442,2.3933514701509937,18.068417072296143,0,0,Completed full 60s dashboard workload benchmark
run_1784377122104_7a8f46c91d1b6,2026-07-18T12:17:42.102Z,2026-07-18T12:18:42.104Z,js,dashboard_continuous,dashboard_continuous_5000_100ms,100,60000,496,2070948442,13.981607346044433,24.36695897579193,0,0,Completed full 60s dashboard workload benchmark
run_1784377193857_7d645eacc72744,2026-07-18T12:18:53.855Z,2026-07-18T12:19:53.857Z,native,dashboard_continuous,dashboard_continuous_5000_100ms,100,60000,515,2070948442,2.3200862565086884,15.074291110038757,0,0,Completed full 60s dashboard workload benchmark
run_1784377254838_4d52c7f8ea5614,2026-07-18T12:19:54.834Z,2026-07-18T12:20:54.838Z,js,dashboard_continuous,dashboard_continuous_5000_100ms,100,60000,493,2070948442,15.034100837688175,25.116167068481445,0,0,Completed full 60s dashboard workload benchmark
run_1784377318164_91a44a00ccd408,2026-07-18T12:20:58.163Z,2026-07-18T12:21:58.164Z,native,dashboard_continuous,dashboard_continuous_5000_100ms,100,60000,515,2070948442,2.343315689772078,17.87845802307129,0,0,Completed full 60s dashboard workload benchmark
